Frame,Clase,ID,Xmin,Ymin,Xmax,Ymax
1,car,1,577.0277099609375,665.707763671875,697.5576171875,944.8060913085938
1,car,2,771.9239501953125,782.9329833984375,897.620361328125,1044.038818359375
1,pedestrian,3,1180.5576171875,534.1578369140625,1248.079345703125,573.9437255859375
1,pedestrian,4,959.293212890625,826.17431640625,1007.5057983398438,877.23583984375
1,pedestrian,5,696.4342041015625,1025.3359375,752.8548583984375,1073.993408203125
1,pedestrian,6,961.500732421875,663.8905029296875,999.6796875,713.3878173828125
1,motor,7,154.6409912109375,926.8159790039062,241.6383819580078,978.7992553710938
1,pedestrian,8,936.6064453125,470.44134521484375,969.2865600585938,501.58648681640625
1,motor,9,76.92495727539062,784.0369262695312,160.56002807617188,826.6433715820312
1,pedestrian,10,1181.9891357421875,377.3562927246094,1213.7755126953125,417.0257263183594
1,pedestrian,11,997.5347900390625,759.3470458984375,1041.284423828125,799.4843139648438
1,pedestrian,12,192.96136474609375,525.1968994140625,266.28729248046875,568.378173828125
1,pedestrian,13,1702.87646484375,608.5028076171875,1770.667236328125,644.3255615234375
1,pedestrian,14,1770.8162841796875,630.2674560546875,1821.5665283203125,678.5296020507812
1,pedestrian,15,1167.79345703125,840.67236328125,1213.126708984375,886.9683837890625
1,pedestrian,16,1571.350341796875,379.2283630371094,1622.4510498046875,421.7480163574219
1,pedestrian,17,1636.8233642578125,556.5150146484375,1675.2967529296875,594.87646484375
1,motor,18,125.06765747070312,1034.369140625,213.88433837890625,1077.941162109375
2,car,1,576.4824829101562,672.2192993164062,696.2083129882812,949.2138671875
2,car,2,771.8974609375,790.9969482421875,896.983642578125,1050.907958984375
2,pedestrian,3,1178.63525390625,535.0770874023438,1249.947509765625,577.1680908203125
2,pedestrian,4,960.1080932617188,826.3964233398438,1007.5564575195312,876.6396484375
2,pedestrian,5,696.3963623046875,1025.2703857421875,753.0140380859375,1074.100341796875
2,pedestrian,6,961.0037231445312,663.3585205078125,998.6057739257812,712.0394287109375
2,motor,7,145.98959350585938,924.3184204101562,248.73526000976562,985.9468383789062
2,pedestrian,8,934.35107421875,469.27197265625,968.4627685546875,501.8250732421875
2,motor,9,77.40632629394531,784.1993408203125,160.1904754638672,826.3668823242188
2,pedestrian,10,1180.605712890625,378.446533203125,1211.7137451171875,417.22283935546875
2,pedestrian,11,996.7197265625,758.6595458984375,1041.090576171875,799.3734741210938
2,pedestrian,12,193.0574188232422,525.1962890625,266.2718811035156,568.3120727539062
2,pedestrian,13,1701.093017578125,608.7374267578125,1769.8377685546875,645.0397338867188
2,pedestrian,14,1770.3367919921875,630.0035400390625,1821.236328125,678.4317016601562
2,pedestrian,15,1166.8961181640625,842.3814086914062,1214.1475830078125,890.6419677734375
2,pedestrian,17,1634.2032470703125,556.7190551757812,1673.607666015625,595.9947509765625
3,car,1,577.5841674804688,679.2504272460938,696.9911499023438,955.2061767578125
3,car,2,772.5436401367188,797.4547729492188,897.7887573242188,1057.8360595703125
3,pedestrian,3,1180.391845703125,534.859619140625,1247.231689453125,574.3021240234375
3,pedestrian,4,958.3468627929688,825.9378051757812,1006.1311645507812,876.5244140625
3,pedestrian,5,695.3348388671875,1024.91943359375,752.8712158203125,1074.6141357421875
3,pedestrian,6,960.345703125,663.1265258789062,998.3832397460938,712.3251342773438
3,motor,7,145.1540069580078,922.6770629882812,250.5464324951172,986.2130126953125
3,pedestrian,8,933.0264282226562,468.51177978515625,967.3037719726562,501.2986755371094
3,motor,9,77.1514892578125,783.980224609375,160.9676055908203,826.68994140625
3,pedestrian,10,1181.3719482421875,376.8885803222656,1216.21484375,420.1138610839844
3,pedestrian,11,993.3724365234375,756.4799194335938,1041.53466796875,800.8585815429688
3,pedestrian,12,192.94235229492188,525.160400390625,266.20672607421875,568.3023071289062
3,pedestrian,13,1696.343994140625,608.020751953125,1770.12353515625,646.9501953125
3,pedestrian,14,1770.684814453125,629.9564819335938,1821.4091796875,678.2009887695312
3,pedestrian,15,1167.5726318359375,843.2616577148438,1214.77685546875,891.4176025390625
3,pedestrian,19,1274.6424560546875,415.6158142089844,1301.921630859375,454.1689758300781
3,pedestrian,16,1566.8548583984375,379.2982482910156,1623.5238037109375,426.59698486328125
4,car,1,577.3590698242188,686.2741088867188,696.8502197265625,961.8178100585938
4,car,2,772.1255493164062,805.2697143554688,897.7240600585938,1066.400146484375
4,pedestrian,3,1181.658203125,535.4152221679688,1243.866455078125,572.15478515625
4,pedestrian,4,957.6720581054688,825.005126953125,1005.2489624023438,875.466064453125
4,pedestrian,5,694.6735229492188,1024.7825927734375,752.134033203125,1074.53515625
4,pedestrian,6,960.7159423828125,663.0405883789062,997.9518432617188,711.0894165039062
4,motor,7,144.42347717285156,920.8841552734375,250.94496154785156,985.5955810546875
4,pedestrian,8,932.0110473632812,467.9524230957031,966.7438354492188,501.3288879394531
4,motor,9,77.36117553710938,784.14501953125,160.380615234375,826.4320678710938
4,pedestrian,10,1181.3096923828125,375.3437805175781,1217.24560546875,419.55853271484375
4,pedestrian,11,993.12548828125,756.4105834960938,1041.0267333984375,800.720947265625
4,pedestrian,12,193.0462646484375,525.2379150390625,266.2191467285156,568.3267211914062
4,pedestrian,13,1694.9893798828125,607.6735229492188,1770.155029296875,647.2930908203125
4,pedestrian,14,1770.392333984375,629.4840087890625,1821.4609375,678.0204467773438
4,pedestrian,19,1273.8604736328125,415.19866943359375,1299.9415283203125,451.8005676269531
4,pedestrian,17,1633.096923828125,558.5262451171875,1669.9571533203125,595.03466796875
