Frame;Clase;ID;Xmin;Ymin;Xmax;Ymax
2;car;46;1645.566528;546.124268;1737.658081;592.204468
2;car;47;261.023621;320.480682;306.747772;348.420441
2;car;48;1090.256470;258.384460;1106.773071;270.534393
2;car;49;1677.449219;492.496796;1750.335693;544.686523
2;car;50;1077.869507;379.225189;1111.242432;408.032013
2;car;51;1042.819336;280.543640;1062.550537;298.641815
2;car;52;706.072815;373.758636;747.908691;402.059662
2;car;53;1733.829712;554.211060;1829.364868;611.232056
2;car;54;1857.381470;704.266052;1919.903076;785.630493
2;car;55;400.178833;356.184601;466.205322;388.250031
3;car;1;921.551941;749.321106;1022.537903;899.024719
3;car;2;1078.820801;613.980347;1151.387817;704.472473
3;car;3;955.326294;587.026245;1019.178711;656.952942
3;car;4;978.238647;503.418854;1035.356445;561.649658
3;car;5;1072.010498;408.271362;1109.449585;446.629395
3;car;6;1151.140137;485.545502;1205.302124;539.485535
3;car;7;1012.927673;367.899506;1042.443481;395.364227
3;car;8;551.384949;368.081238;609.854614;400.345367
3;car;9;1773.840698;711.380066;1919.277344;801.854004
3;car;10;1625.378296;577.343323;1725.557129;656.353821
3;car;11;1074.997070;315.647369;1093.950806;333.903503
3;pedestrian;12;1385.430664;728.250916;1413.960938;805.253174
3;pedestrian;13;2.538796;588.165222;31.202410;644.343201
3;car;14;639.850342;362.598846;675.106506;388.568085
3;car;15;782.770630;377.848206;831.527588;408.973145
3;car;16;348.766266;370.847656;425.817352;400.810974
3;car;17;291.447693;324.724457;340.812012;350.726044
3;car;18;123.519852;343.599884;178.324554;378.032288
3;car;19;1707.131348;587.859924;1820.958252;662.180786
3;car;20;73.235321;344.462219;123.514412;377.219543
3;car;21;507.819794;339.401855;547.774536;364.526764
3;car;22;1570.350952;546.114746;1653.949585;609.286804
3;car;23;1788.903931;507.318085;1844.503784;548.617981
3;car;24;1222.431763;426.380127;1313.205933;461.942505
3;car;25;1826.938110;595.688904;1908.476562;668.520691
3;car;26;1864.631958;512.520813;1919.740601;554.916199
3;car;27;1112.490723;325.644165;1138.658447;346.636139
3;car;28;1107.841064;307.806915;1128.914307;323.019531
3;car;29;205.345627;338.459167;274.096649;365.459351
3;car;30;49.302795;315.369080;105.811287;341.957306
3;car;31;300.967255;350.158051;355.802368;385.996735
3;car;32;1080.054810;368.025513;1110.564575;398.328491
3;car;33;13.125044;325.101501;73.672661;351.393768
3;car;34;1806.026611;483.217560;1852.424438;519.909546
3;car;35;0.000000;327.465485;46.995598;357.212799
3;car;36;742.187134;374.581696;782.760437;408.783813
3;car;37;1489.407715;490.499969;1567.548584;540.708130
3;pedestrian;38;359.363647;643.709351;393.935486;708.821472
